品名,户型,价格,用户点评,品名链接,详情链接,户型链接,点评链接,看房团链接,物业类别,项目特色,建筑类别,装修状况,产权年限,环线位置,销售状态,楼盘优惠,开盘时间,交房时间,售楼地址,咨询电话,占地面积,建筑面积,容积率,绿化率,停车位,楼栋总数,总户数,物业公司,物业费
佘山水岸名邸,3室2厅1厨2卫 95.00㎡(建面)|3室2厅1厨3卫 123.00㎡(建面)|4室2厅1厨2卫 120.00㎡(建面)|4室2厅1厨3卫 134.00㎡(建面)|,待定,3,http://sheshanshuianmingdi.fang.com/,http://sheshanshuianmingdi.fang.com/house/1210126794/housedetail.htm,http://sheshanshuianmingdi.fang.com/photo/list_900_1210126794.htm,http://sheshanshuianmingdi.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"花园洋房,叠拼",低密居所,板楼低层多层,暂无,花园洋房:70年叠拼:70年,外环以外,待售,暂无,暂无资料[开盘时间详情],,佘山镇桃源路与细林路交汇处,400-890-0000转870567,17938平方米,23319平方米,1.3,35%,暂无资料,暂无资料,194户,暂无资料,暂无资料
品臻園安麓别业,4室4厅2厨5卫 975.00㎡(建面)|4室5厅1厨5卫 899.00㎡(建面)|,待定,3.88,http://anlubieyepzy.fang.com/,http://anlubieyepzy.fang.com/house/1211178196/housedetail.htm,http://anlubieyepzy.fang.com/photo/list_900_1211178196.htm,http://anlubieyepzy.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,湖景地产旅游地产,独栋,毛坯,独栋:40年,外环以外,待售,暂无,2014年12月6日2-3#、5-12#已开盘[开盘时间详情],2015年10月2-3#、5-12#已交房,上海市青浦区朱家角珠湖路505号,400-890-0000转812046,29043平方米,30716平方米,0.47,30%,品臻園安麓别业停车位2个/户,10栋,10户,上海秦森物业管理有限公司,12.00元/㎡·月
宝华源墅,4室2厅1厨3卫 178.00㎡(建面)|5室2厅1厨4卫 198.00㎡(建面)|6室2厅1厨3卫 178.00㎡(建面)|6室2厅1厨4卫 198.00㎡(建面)|6室2厅1厨4卫 241.00㎡(建面)|6室2厅1厨4卫 241.00㎡(建面)|6室2厅1厨4卫 241.00㎡(建面)|,待定,3.32,http://baohuayuanshu.fang.com/,http://baohuayuanshu.fang.com/house/1211202152/housedetail.htm,http://baohuayuanshu.fang.com/photo/list_900_1211202152.htm,http://baohuayuanshu.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,品牌地产,联排叠拼,毛坯,联排:70年叠拼:70年,外环以外,待售,暂无,28-33#等2015年9月11日已开盘[开盘时间详情],已于2016年6月交房,闵行区浦江镇三鲁路5588号（近林恒路）,400-890-0000转819996,190000平方米,107000平方米,0.59,40%,宝华源墅地下停车位1407个，车位比接近1：3,324栋,359户,安荣物业,3.98元/㎡·月
中粮南桥锦云,3室2厅1厨2卫 118.00㎡(建面)|2室2厅1厨1卫 78.00㎡(建面)|2室2厅1厨1卫 90.00㎡(建面)|2室2厅1厨1卫 90.00㎡(建面)|3室2厅1厨1卫 93.00㎡(建面)|3室2厅1厨2卫 130.00㎡(建面)|,均价约36700元/平方米,4.78,http://nanqiaojinyunzl.fang.com/,http://nanqiaojinyunzl.fang.com/house/1210126190/housedetail.htm,http://nanqiaojinyunzl.fang.com/photo/list_900_1210126190.htm,http://nanqiaojinyunzl.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,品牌地产地铁沿线,塔楼高层,毛坯,70年,外环以外,在售,暂无,预计2018年7月份加推[开盘时间详情],预计2019年9月30日交房,暂无资料,400-890-0000转845072,33215平方米,83038平方米,2.5,35%,共958个，地上35个，地下923个,9栋,793户,中粮地产集团深圳物业管理有限公司上海分公司,3.60元/㎡·月
金融街融府,2室2厅1厨1卫 89.00㎡(建面)|2室2厅1厨2卫 118.00㎡(建面)|3室2厅1厨2卫 130.00㎡(建面)|3室2厅1厨3卫 168.00㎡(建面)|,待定,4.04,http://jinrongjierongfu.fang.com/,http://jinrongjierongfu.fang.com/house/1210125822/housedetail.htm,http://jinrongjierongfu.fang.com/photo/list_900_1210125822.htm,http://jinrongjierongfu.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,暂无,板楼高层超高层,非毛坯,70年,内环以内,待售,暂无,预计2018年6月中下旬开盘[开盘时间详情],,静安区恒丰路中兴路路口,400-890-0000转840232,22630平方米,67891平方米,2.75,35%,共526个停车位，地下526个。,4栋,445户,金融街第一太平戴维斯物业管理有限公司上海分公司,暂无资料
凯利·海华府,2室2厅1厨1卫 93.00㎡(建面)|3室2厅1厨1卫 118.00㎡(建面)|3室2厅1厨2卫 146.00㎡(建面)|4室2厅1厨2卫 168.00㎡(建面)|,均价约79800元/平方米,3.97,http://kailihaihuafu.fang.com/,http://kailihaihuafu.fang.com/house/1210125726/housedetail.htm,http://kailihaihuafu.fang.com/photo/list_900_1210125726.htm,http://kailihaihuafu.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,国际化社区,板楼高层,毛坯[6套装修案例],70年,中内环间,在售,暂无,2018年5月8日开盘[开盘时间详情],待定,浦东新区成山路1066号,400-890-0000转816090,暂无资料,329070平方米,2.5,35%,凯利海华府合计有1678个停车位,17栋,1658户,暂无资料,暂无资料
浦东星河湾,4室4厅2厨4卫 290.00㎡(建面)|4室4厅2厨4卫 288.00㎡(建面)|4室4厅2厨4卫 289.00㎡(建面)|4室4厅2厨4卫 292.00㎡(建面)|4室4厅2厨4卫 375.00㎡(建面)|4室3厅1厨4卫 245.00㎡(建面)|4室3厅2厨4卫 291.00㎡(建面)|4室4厅2厨4卫 313.00㎡(建面)|4室4厅1厨4卫 316.00㎡(建面)|4室4厅2厨4卫 356.00㎡(建面)|4室4厅2厨4卫 356.00㎡(建面)|4室4厅2厨4卫 363.00㎡(建面)|,待定,4.03,http://pudongxinghewan.fang.com/,http://pudongxinghewan.fang.com/house/1210691818/housedetail.htm,http://pudongxinghewan.fang.com/photo/list_900_1210691818.htm,http://pudongxinghewan.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,大平层",品牌地产,板楼小高层高层,非毛坯,大平层:70年70年,中内环间,待售,暂无,待定[开盘时间详情],二期已于2013年6月交付,上海浦东新区锦绣路2588弄,400-890-0000转657243,200000平方米,95000平方米,1.72,48.30%,浦东星河湾的车位比为1:2,32栋,982户,广州星河湾物业管理服务有限公司上海分公司,4.90元/㎡·月
金地自在城玺湾,3室2厅1厨1卫 90.00㎡(建面)|3室2厅1厨1卫 90.00㎡(建面)|3室2厅1厨2卫 112.00㎡(建面)|4室2厅1厨2卫 126.00㎡(建面)|,待定,4.43,http://jindixiwan.fang.com/,http://jindixiwan.fang.com/house/1210126488/housedetail.htm,http://jindixiwan.fang.com/photo/list_900_1210126488.htm,http://jindixiwan.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,暂无,板楼高层,非毛坯,70年,外环以外,待售,暂无,待定[开盘时间详情],预计2019年9月30日带装修交付,松江区泗泾镇泗宝路泗通路路口,400-890-0000转848492,41983平方米,113314平方米,2,暂无资料,共965个停车位，其中地上147个，地下834个,12栋,804户,上海金地物业服务有限公司,3.40元/㎡·月
天健萃园,2室2厅1厨1卫 75.00㎡(建面)|3室2厅1厨1卫 84.00㎡(建面)|3室2厅1厨1卫 91.00㎡(建面)|3室2厅1厨1卫 91.00㎡(建面)|3室2厅2厨2卫 102.00㎡(建面)|,约23000元/平方米起,3.1,http://tianjiancuiyuan.fang.com/,http://tianjiancuiyuan.fang.com/house/1210124584/housedetail.htm,http://tianjiancuiyuan.fang.com/photo/list_900_1210124584.htm,http://tianjiancuiyuan.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,花园洋房",暂无,板楼多层高层,"毛坯,非毛坯",70年花园洋房:70年,外环以外,在售,暂无,2017年9月19日二期8#等已开盘[开盘时间详情],预计于2018年6月底交房入住,浦东新区祥凯路2013弄,400-890-0000转832303,48710平方米,93764平方米,1.4,35%,机动车位518个，非机动车位785个。地上机动车97个、非机动车368个；地下机动车421个、非机动车417个。,19栋,664户,天健物业公司,2.90元/㎡·月
华园,1室2厅1厨1卫 49.00㎡(建面)|1室2厅1厨1卫 68.00㎡(建面)|1室2厅1厨1卫 79.00㎡(建面)|2室2厅1厨2卫 109.00㎡(建面)|3室2厅1厨2卫 105.00㎡(建面)|3室2厅1厨2卫 110.00㎡(建面)|3室2厅1厨2卫 120.00㎡(建面)|3室2厅1厨2卫 120.00㎡(建面)|3室2厅1厨2卫 120.00㎡(建面)|4室2厅1厨2卫 126.00㎡(建面)|4室2厅1厨2卫 127.00㎡(建面)|,待定,4.49,http://huayuan021.fang.com/,http://huayuan021.fang.com/house/1210126314/housedetail.htm,http://huayuan021.fang.com/photo/list_900_1210126314.htm,http://huayuan021.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,现房国际化社区,板楼多层小高层,非毛坯,70年,中内环间,待售,暂无,2017年12月1日已开盘[开盘时间详情],2017年12月1日已交房,长宁区古北荣华西道39弄1-6号,400-890-0000转846745,3138平方米,6278平方米,2,30%,暂无资料,6栋,86户,暂无资料,暂无资料
